,artist_name,track_name,track_id,popularity,acousticness,analysis_url,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,track_href,type,uri,valence
33,Beegie Adair,What Are You Doing New Year's Eve - Jazz Piano Christmas Album Version,2Gq9SnYpzrxUBXIMm7MOMc,0,0.719,https://api.spotify.com/v1/audio-analysis/2Gq9SnYpzrxUBXIMm7MOMc,0.654,258173.0,0.221,0.415,8.0,0.0725,-16.045,1.0,0.0435,72.065,4.0,https://api.spotify.com/v1/tracks/2Gq9SnYpzrxUBXIMm7MOMc,audio_features,spotify:track:2Gq9SnYpzrxUBXIMm7MOMc,0.221
34,Drake,Fair Trade (with Travis Scott),40iJIUlhi6renaREYGeIDS,90,0.0503,https://api.spotify.com/v1/audio-analysis/40iJIUlhi6renaREYGeIDS,0.666,291175.0,0.465,0.0,1.0,0.215,-8.545,1.0,0.26,167.937,4.0,https://api.spotify.com/v1/tracks/40iJIUlhi6renaREYGeIDS,audio_features,spotify:track:40iJIUlhi6renaREYGeIDS,0.292
35,Rhys Lewis,This Time Of Year,1Fwn2YLhzCuSAgMCQmhGhk,0,0.904,https://api.spotify.com/v1/audio-analysis/1Fwn2YLhzCuSAgMCQmhGhk,0.494,222856.0,0.29,2.04e-06,7.0,0.0818,-10.129,1.0,0.0299,77.336,4.0,https://api.spotify.com/v1/tracks/1Fwn2YLhzCuSAgMCQmhGhk,audio_features,spotify:track:1Fwn2YLhzCuSAgMCQmhGhk,0.238
36,GAYLE,abcdefu,4fouWK6XVHhzl78KzQ1UjL,94,0.299,https://api.spotify.com/v1/audio-analysis/4fouWK6XVHhzl78KzQ1UjL,0.695,168602.0,0.54,0.0,4.0,0.367,-5.692,1.0,0.0493,121.932,4.0,https://api.spotify.com/v1/tracks/4fouWK6XVHhzl78KzQ1UjL,audio_features,spotify:track:4fouWK6XVHhzl78KzQ1UjL,0.415
37,Fred again..,Kahan (Last Year),3IGsYYUDb4PrfrsP5tmjHd,53,0.856,https://api.spotify.com/v1/audio-analysis/3IGsYYUDb4PrfrsP5tmjHd,0.441,216000.0,0.428,0.000144,9.0,0.112,-10.694,1.0,0.0609,106.318,4.0,https://api.spotify.com/v1/tracks/3IGsYYUDb4PrfrsP5tmjHd,audio_features,spotify:track:3IGsYYUDb4PrfrsP5tmjHd,0.15
38,Baby Keem,family ties (with Kendrick Lamar),7Bpx2vsWfQFBACRz4h3IqH,86,0.00575,https://api.spotify.com/v1/audio-analysis/7Bpx2vsWfQFBACRz4h3IqH,0.711,252070.0,0.611,0.0,1.0,0.231,-5.453,1.0,0.329,134.14,4.0,https://api.spotify.com/v1/tracks/7Bpx2vsWfQFBACRz4h3IqH,audio_features,spotify:track:7Bpx2vsWfQFBACRz4h3IqH,0.144
39,Elvis Costello & The Attractions,The Beat - 2021 Remaster,1bqlDsBlBPxjK0zuFQcSXq,43,0.115,https://api.spotify.com/v1/audio-analysis/1bqlDsBlBPxjK0zuFQcSXq,0.724,228973.0,0.767,0.0,11.0,0.0995,-5.368,0.0,0.0646,133.509,4.0,https://api.spotify.com/v1/tracks/1bqlDsBlBPxjK0zuFQcSXq,audio_features,spotify:track:1bqlDsBlBPxjK0zuFQcSXq,0.893
40,Juice WRLD,Already Dead,7qM1BWAsZMTYh4BcYLb0uQ,88,0.019,https://api.spotify.com/v1/audio-analysis/7qM1BWAsZMTYh4BcYLb0uQ,0.74,231011.0,0.501,0.0,1.0,0.114,-6.339,1.0,0.0592,83.5,4.0,https://api.spotify.com/v1/tracks/7qM1BWAsZMTYh4BcYLb0uQ,audio_features,spotify:track:7qM1BWAsZMTYh4BcYLb0uQ,0.119
41,LOVA,Happy New Year,4PO0LMUDFHZ9W9iYvBXECF,2,0.834,https://api.spotify.com/v1/audio-analysis/4PO0LMUDFHZ9W9iYvBXECF,0.625,184829.0,0.274,0.0,9.0,0.11,-8.593,1.0,0.0281,134.9,4.0,https://api.spotify.com/v1/tracks/4PO0LMUDFHZ9W9iYvBXECF,audio_features,spotify:track:4PO0LMUDFHZ9W9iYvBXECF,0.081
42,Nardo Wick,"Who Want Smoke?? (feat. G Herbo, Lil Durk & 21 Savage)",4yNoUQkYf1QF8iYlEzNynH,85,0.0045,https://api.spotify.com/v1/audio-analysis/4yNoUQkYf1QF8iYlEzNynH,0.739,279853.0,0.74,0.0,5.0,0.161,-5.86,0.0,0.333,75.575,4.0,https://api.spotify.com/v1/tracks/4yNoUQkYf1QF8iYlEzNynH,audio_features,spotify:track:4yNoUQkYf1QF8iYlEzNynH,0.488
